asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B0CNRZDPG2,1800 Bed Sheets,Queen,Hazy Lilac,8016.47,1597.1999999999998,6419.27,7037,879,251,40,0.03566860878215149,0.04550625711035267,-0.009837648328201186,True
B0BMWCNGW8,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Golden Ivory,7984.120000000001,1049.37,6934.750000000001,3269,414,198,21,0.06056898133985929,0.050724637681159424,0.009844343658699864,True
B0DGQPSZVY,1800 Bed Sheets,King,Mineral Gray,7965.73,1332.0700000000002,6633.66,5631,854,229,31,0.04066773219676789,0.03629976580796253,0.004367966388805364,True
B07R5VP98P,1800 Bed Sheets,Queen,Pinstripe Gray,7961.36,2155.18,5806.18,3312,788,248,54,0.0748792270531401,0.06852791878172589,0.0063513082714142105,True
B0112XNCS0,1800 Bed Sheets,King,Tan,7855.45,1588.17,6267.28,1933,452,225,37,0.11639937920331092,0.08185840707964602,0.0345409721236649,True
B08RZDLLP7,1800 Bed Sheets,King,Blush Pink,7835.96,1117.22,6718.74,4907,694,226,26,0.046056653759934785,0.037463976945244955,0.00859267681468983,True
B08RZDCWPX,1800 Bed Sheets,Queen,Teal,7814.88,1199.1,6615.780000000001,5228,701,244,30,0.046671767406273906,0.042796005706134094,0.0038757617001398126,True
B00WAIH2TM,1800 Bed Sheets,Queen,Lavender,7606.83,1278.24,6328.59,7014,958,239,32,0.034074707727402335,0.033402922755741124,0.0006717849716612115,True
B08BZY7QCJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Tan,7586.630000000001,987.43,6599.200000000001,2087,363,179,19,0.08576904647819837,0.05234159779614325,0.03342744868205512,True
B07RC2W7Q8,1800 Bed Sheets,Queen,Laced Sky Blue,7506.9800000000005,1077.59,6429.39,2720,541,234,27,0.08602941176470588,0.04990757855822551,0.036121833206480373,True
B0CNRXJ7ZB,1800 Bed Sheets,King,Sky Blue,7307.139999999999,1374.18,5932.959999999999,4375,657,202,32,0.04617142857142857,0.0487062404870624,-0.0025348119156338306,True
B0BMW6K3FD,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Sage,7189.779999999999,1194.27,5995.509999999998,3223,524,169,23,0.05243561898852001,0.04389312977099236,0.008542489217527649,True
B016P42X2W,1800 Bed Sheets,Twin XL,Light Gray,7188.41,804.31,6384.1,1578,362,253,23,0.1603295310519645,0.06353591160220995,0.09679361944975456,True
B0822WBGD9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Beige,7144.150000000001,1194.27,5949.880000000001,2824,440,169,23,0.05984419263456091,0.05227272727272727,0.007571465361833639,True
B0CNRZQ14K,1800 Bed Sheets,King,Hazy Lilac,7007.94,1031.28,5976.66,3408,516,202,24,0.05927230046948357,0.046511627906976744,0.012760672562506827,True
B0822Y7786,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,White,6779.339999999999,1241.19,5538.15,4639,433,177,27,0.03815477473593447,0.06235565819861432,-0.024200883462679852,True
B01DN0ALM0,1800 Bed Sheets,Queen,Emerald Green,6733.759999999999,1597.2,5136.5599999999995,4689,774,209,40,0.04457240349754745,0.05167958656330749,-0.007107183065760039,True
