keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
extra deep queen sheet set,,0,,,,474,19,2,432.44000000000005,93.94,22.76,18.0,307,10,0.000726427429899753,0.2
soft queen sheets,,0,,,,590,12,0,431.88,,,,260,1,6.144770800049158e-05,0.0
full size bedsheets,,0,,,,645,18,1,431.82,35.97,,,229,1,5.32509718302359e-05,1.0
queen size sheet,,0,,,,815,25,0,431.75,,479.7,-0.09995830727538042,306,2,8.755034144633164e-05,0.0
gray queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,13,15,2,289,27,1,431.73,39.97,,,124,2,0.0002358490566037736,0.5
full xl bed sheets,,0,,,,958,16,0,430.24,,,,558,7,0.00021849054248080404,0.0
light blue sheets,,0,,,,2045,20,0,424.6,,403.37,0.05263157894736847,930,4,6.648936170212766e-05,0.0
white sheets queen,,0,,,,497,25,0,424.5,,755.92,-0.43843263837443114,207,11,0.0007559617895677273,0.0
queen size sheet sets,,0,,,,723,25,0,424.5,,382.32,0.1103264281230383,353,1,4.25930658488798e-05,0.0
white bedding full,,0,,,,1027,9,0,422.91,,,,533,1,3.590535348820509e-05,0.0
dust ruffle for king size bed,,0,,,,956,16,1,421.28,22.97,269.82,0.5613371877547995,511,7,0.0002610187187709747,0.14285714285714285
full sheet,,0,,,,917,30,0,420.0,,,,373,2,8.44273713537929e-05,0.0
wrap around bed skirt,,0,,,,2864,28,1,419.72,22.97,236.99,0.7710451917802439,1543,11,0.00014108895016994805,0.09090909090909091
cream sheets,,0,,,,1930,19,0,417.80999999999995,,379.0,0.10240105540897083,849,6,0.0001144885225256168,0.0
soft sheets king size,,0,,,,442,11,0,415.69,,104.94999999999999,2.960838494521201,185,2,0.00016879061524179256,0.0
sheet set queen,,0,,,,823,23,0,413.77,,254.70000000000002,0.6245386729485668,302,0,0.0,
